LEAID,#schools,#students,district,state,Tier
100005,6,5842.0,Albertville City,AL,Tier 3
100006,15,5758.0,Marshall County,AL,Tier 3
100007,18,13640.0,Hoover City,AL,Tier 4
100008,11,11804.0,Madison City,AL,Tier 4
100009,5,0.0,Al Inst Deaf And Blind,AL,Tier 1
100011,4,2097.0,Leeds City,AL,Tier 2
100012,5,2431.0,Boaz City,AL,Tier 2
100013,5,4816.0,Trussville City,AL,Tier 3
100015,6,0.0,SafetyNet Academy Minter,AL,Tier 1
100016,1,0.0,Bryce Adolescent School,AL,Tier 1
100019,1,0.0,United Ability,AL,Tier 1
100020,1,0.0,Boyd School,AL,Tier 1
100021,1,0.0,BrewerPorch Childrens Center,AL,Tier 1
100022,1,0.0,Sequel TSI Courtland LLC,AL,Tier 1
100024,1,0.0,Sequel TSI New Beginnings LLC,AL,Tier 1
100026,1,0.0,Sequel TSI Tuskegee LLC,AL,Tier 1
100028,1,0.0,Triwill Portacras,AL,Tier 1
100030,5,2948.0,Alexander City,AL,Tier 2
100033,3,0.0,Glenwood Mental Health Service,AL,Tier 1
100035,4,0.0,The Little Tree Preschool  Auburn,AL,Tier 1
100036,1,0.0,Lee County Youth Development Center,AL,Tier 1
100037,1,0.0,BayPointe Residential Services,AL,Tier 1
100038,2,0.0,Pathway Inc,AL,Tier 1
100039,1,0.0,Presbyterian Home for Children,AL,Tier 1
100040,1,0.0,Brantwood Childrens Home,AL,Tier 1
100041,1,0.0,Developing Alabama Youth Prog,AL,Tier 1
100042,1,0.0,Laurel Oaks Behavioral Health Center,AL,Tier 1
100043,1,0.0,Southeastern Psychiaric Management Inc,AL,Tier 1
100060,3,1785.0,Andalusia City,AL,Tier 1
100090,7,1898.0,Anniston City,AL,Tier 1
100100,4,2609.0,Arab City,AL,Tier 2
100120,8,4538.0,Athens City,AL,Tier 3
100175,1,0.0,POINTE Academy LLC,AL,Tier 1
100176,8,0.0,JF Ingram State Technical College,AL,Tier 1
100178,2,0.0,Higdon Hill School,AL,Tier 1
